SBA Physical Declaration Number,SBA EIDL Declaration ,FEMA Disaster Number,SBA Disaster ,Damaged Property City ,Damaged Property Zip,Damaged Property State Code,Total Verified ,Verified Loss Real Estate,Verified Loss Content,Total Approved ,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
14495,14496,4241,SC-00031,HEMINGWAY,29554,SC,114972,87016,27956,0,0,0,0
14495,14496,4241,SC-00031,HOLLY HILL,29059,SC,563253,520563,42690,189900,169600,16000,4300
14495,14496,4241,SC-00031,HOLLYWOOD,29449,SC,141462,122468,18994,100700,95200,5500,0
14495,14496,4241,SC-00031,HOPKINS,29061,SC,918407,824477,93930,469500,258000,60600,150900
14495,14496,4241,SC-00031,HUGER,29450,SC,48892,38542,10350,13700,0,10400,3300
14495,14496,4241,SC-00031,IRMO,29063,SC,0,0,0,85100,0,0,85100
14495,14496,4241,SC-00031,IRMO,29063,SC,24633,24633,0,152800,5700,0,147100
14495,14496,4241,SC-00031,ISLE OF PALMS,29451,SC,1916981,1568051,348930,577600,523200,54400,0
14495,14496,4241,SC-00031,JACKSONBORO,29452,SC,84750,82250,2500,0,0,0,0
14495,14496,4241,SC-00031,JOHNS ISLAND,29455,SC,535816,531331,4485,96100,85800,0,10300
14495,14496,4241,SC-00031,JOHNS ISLAND,29455,SC,6241,4891,1350,0,0,0,0
14495,14496,4241,SC-00031,JOHNSONVILLE,29555,SC,62648,48698,13950,0,0,0,0
14495,14496,4241,SC-00031,KINGSTREE,29556,SC,93093,93093,0,0,0,0,0
14495,14496,4241,SC-00031,KINGSTREE,29556,SC,3477423,2464761,1012662,1351900,904200,351200,96500
14495,14496,4241,SC-00031,KINGSTREE,29583,SC,42587,42587,0,0,0,0,0
14495,14496,4241,SC-00031,Kingstree,29556,SC,3756545,3017045,739500,0,0,0,0
14495,14496,4241,SC-00031,LADSON,29456,SC,27544,24449,3095,30000,24000,3100,2900
14495,14496,4241,SC-00031,Ladson,29456,SC,179113,179113,0,0,0,0,0
14495,14496,4241,SC-00031,LADSON,29456,SC,605691,605691,0,357900,357900,0,0
14495,14496,4241,SC-00031,Ladson,29456,SC,127550,125850,1700,127600,126000,1600,0
14495,14496,4241,SC-00031,LADSON,29456,SC,159156,155876,3280,175800,154900,3200,17700
14495,14496,4241,SC-00031,LAKE CITY,29560,SC,920204,539524,380680,434900,280700,154200,0
14495,14496,4241,SC-00031,Lake City,29560,SC,57381,47881,9500,46000,36500,9500,0
14495,14496,4241,SC-00031,LAKE CITY,29560,SC,359095,350110,8985,41700,37600,4100,0
14495,14496,4241,SC-00031,LAMAR,29069,SC,533131,528531,4600,189300,189300,0,0
14495,14496,4241,SC-00031,LAMAR,29069,SC,205255,205255,0,171600,171600,0,0
14495,14496,4241,SC-00031,LANE,29564,SC,106296,93321,12975,58200,48800,8500,900
14495,14496,4241,SC-00031,Lane,29564,SC,24006,19706,4300,16800,12500,4300,0
14495,14496,4241,SC-00031,LEESVILLE,29070,SC,58000,0,58000,0,0,0,0
14495,14496,4241,SC-00031,LEXINGTON,29072,SC,524973,200185,324788,284000,178300,25000,80700
14495,14496,4241,SC-00031,LEXINGTON,29073,SC,20672,20672,0,19500,19500,0,0
14495,14496,4241,SC-00031,Lexington,29072,SC,34988,34988,0,35000,35000,0,0
14495,14496,4241,SC-00031,Lexington,29073,SC,20672,20672,0,19500,19500,0,0
14495,14496,4241,SC-00031,LEXINGTON,29072,SC,1263,0,1263,0,0,0,0
14495,14496,4241,SC-00031,LITTLE RIVER,29566,SC,901740,870720,31020,771000,711100,2800,57100
14495,14496,4241,SC-00031,Little River,29566,SC,821016,821016,0,0,0,0,0
14495,14496,4241,SC-00031,LONGS,29568,SC,192776,167595,25181,13100,11400,1700,0
14495,14496,4241,SC-00031,Longs,29568,SC,275835,270135,5700,0,0,0,0
14495,14496,4241,SC-00031,LORIS,29569,SC,91224,91224,0,0,0,0,0
14495,14496,4241,SC-00031,LUGOFF,29078,SC,74087,73050,1037,16800,12400,0,4400
14495,14496,4241,SC-00031,LYNCHBURG,29080,SC,926931,700897,226034,17000,17000,0,0
14495,14496,4241,SC-00031,MANNING,29102,SC,2635831,2228937,406894,613800,465400,120700,27700
14495,14496,4241,SC-00031,Manning,29102,SC,4885924,4665090,220834,0,0,0,0
14495,14496,4241,SC-00031,MARION,29571,SC,591293,581118,10175,303300,303300,0,0
14495,14496,4241,SC-00031,Marion,29571,SC,58546,58546,0,0,0,0,0
14495,14496,4241,SC-00031,MAYESVILLE,29104,SC,13117,13117,0,0,0,0,0
14495,14496,4241,SC-00031,MAYESVILLE,29104,SC,1712272,1489988,222284,25000,25000,0,0
14495,14496,4241,SC-00031,Mayesville,29104,SC,868387,647553,220834,0,0,0,0
14495,14496,4241,SC-00031,MC CLELLANVILLE,29458,SC,90090,77320,12770,90100,77400,12700,0
14495,14496,4241,SC-00031,MONCKS CORNER,29461,SC,636918,579283,57635,377800,354700,11800,11300
14495,14496,4241,SC-00031,Moncks Corner,29461,SC,420759,420759,0,338300,338300,0,0
14495,14496,4241,SC-00031,MOUNT PLEASANT,29464,SC,28030,17930,10100,18100,5000,0,10800
14495,14496,4241,SC-00031,MOUNT PLEASANT,29466,SC,14721,12921,1800,0,0,0,0
